id,name,category,theme,address,address_detail,lat,lng,tags/0,tags/1,tags/2,tags/3,description,main_menu,opening_hours,closed,phone,theme_category,tags/4
KCLANPO23N000000562,도두항유람선,관광지,일반관광지,제주특별자치도 제주시 도두일동  268455,도두항서길 28,33.50661647,126.465123,일반관광지,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000000563,해신사,관광지,천연기념물,제주특별자치도 제주시 화북일동  1622,진북길 9월 1일,33.52423321,126.5653882,천연기념물,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,자연경관,
KCLANPO23N000000619,일출랜드,관광지,유명관광지,제주특별자치도 서귀포시 성산읍 삼달리 1010,중산간동로 4150-30,33.38321007,126.8414037,동부지역,제주,유명관광지,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000000621,소인국테마파크,관광지,유명관광지,제주특별자치도 서귀포시 안덕면 서광리 725,중산간서로 1878,33.29010357,126.3225065,제주,유명관광지,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000000622,제주미니랜드,관광지,일반관광지,제주특별자치도 제주시 조천읍 교래리 산56-4,비자림로 606,33.43316296,126.6739975,일반관광지,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000000623,퍼시픽리솜,관광지,유명관광지,제주특별자치도 서귀포시 색달동  2950-17,중문관광로 154-17,33.24387572,126.4156193,제주,유명관광지,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000000624,도깨비공원,관광지,유명관광지,제주특별자치도 제주시 조천읍 선흘리 799519,번영로 1488,33.46336387,126.692139,제주,유명관광지,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000000654,제주공룡랜드,관광지,테마공원/대형놀이공원,제주특별자치도 제주시 애월읍 광령리 2698,광령평화2길 1,33.44174897,126.4331857,대형놀이공원,제주,서부지역,테마공원,정보없음,정보없음,정보없음,정보없음,정보없음,체험/레저,
KCLANPO23N000000678,중문색달해수욕장,관광지,해수욕장,제주특별자치도 서귀포시 색달동  ,정보없음,33.24523383,126.4101166,해수욕장,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000000679,협재해수욕장,관광지,해수욕장,제주특별자치도 제주시 한림읍 협재리 ,정보없음,33.39399103,126.2391127,해수욕장,제주,서부지역,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000000691,김녕해수욕장,관광지,해수욕장,제주특별자치도 제주시 구좌읍 김녕리 ,정보없음,33.55837636,126.759417,동부지역,해수욕장,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000000710,삼양해수욕장,관광지,해수욕장,제주특별자치도 제주시 삼양이동  22037,정보없음,33.52561191,126.5857531,해수욕장,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000000724,표선해수욕장,관광지,해수욕장,제주특별자치도 서귀포시 표선면 표선리 ,정보없음,33.32738446,126.8378419,남부지역,해수욕장,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000000726,함덕해수욕장,관광지,해수욕장,제주특별자치도 제주시 조천읍 함덕리 산13,정보없음,33.54378046,126.6706558,해수욕장,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000000733,곽지해수욕장,관광지,해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565,곽지1길 31,33.45068213,126.3047789,해수욕장,제주,서부지역,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000000734,하모해수욕장,관광지,해수욕장,제주특별자치도 서귀포시 대정읍 하모리 ,정보없음,33.21066657,126.262038,해수욕장,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000000735,이호테우해수욕장,관광지,해수욕장,제주특별자치도 제주시 이호일동  ,정보없음,33.49797776,126.4530919,해수욕장,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000000736,신양섭지해수욕장,관광지,해수욕장,제주특별자치도 서귀포시 성산읍 고성리 186-2,신양로122번길 16,33.43484851,126.9232803,동부지역,해수욕장,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000000739,화순금모래해수욕장,관광지,해수욕장,제주특별자치도 서귀포시 안덕면 화순리 ,정보없음,33.24001852,126.3338204,해수욕장,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000000883,금능해수욕장,관광지,해수욕장,제주특별자치도 제주시 한림읍 금능리 2316,정보없음,33.38919776,126.233978,해수욕장,제주,서부지역,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000000907,세화해수욕장,관광지,해수욕장,제주특별자치도 제주시 구좌읍 세화리 ,정보없음,33.52491251,126.8609529,동부지역,해수욕장,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000000932,하도해수욕장,관광지,해수욕장,제주특별자치도 제주시 구좌읍 하도리 ,정보없음,33.51324426,126.8987274,동부지역,해수욕장,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,바다,
KCLANPO23N000001023,통나무집관광단지,관광지,유명관광지,제주특별자치도 제주시 조천읍 교래리 125,정보없음,33.43257333,126.7035273,제주,유명관광지,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000001051,방림원,관광지,식물원,제주특별자치도 제주시 한경면 저지리 2120-61,용금로 864,33.33733824,126.2689582,제주,식물원,,,정보없음,정보없음,정보없음,정보없음,정보없음,자연경관,
KCLANPO23N000001052,여미지식물원,관광지,유명관광지,제주특별자치도 서귀포시 색달동  213304,중문관광로 93,33.252661,126.414292,제주,유명관광지,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000001091,제주국제영어마을,관광지,영어마을,제주특별자치도 제주시 조천읍 북촌리 1199,북촌북길 1월 17일,33.54824342,126.6905783,영어마을,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,체험/레저,
KCLANPO23N000001148,한라수목원,관광지,휴양림/수목원,제주특별자치도 제주시 연동  1012,수목원길 72,33.46934973,126.4928522,휴양림,제주,수목원,,정보없음,정보없음,정보없음,정보없음,정보없음,자연경관,
KCLANPO23N000001175,절물자연휴양림,관광지,휴양림/수목원,제주특별자치도 제주시 봉개동  산78-1,명림로 584,33.43698783,126.6281103,휴양림,제주,수목원,,정보없음,정보없음,정보없음,정보없음,정보없음,자연경관,
KCLANPO23N000001200,상록수수목원,관광지,휴양림/수목원,제주특별자치도 서귀포시 대포동  1250-2,대포동서로70번길 58-18,33.24412516,126.4430434,휴양림,제주,수목원,,정보없음,정보없음,정보없음,정보없음,정보없음,자연경관,
KCLANPO23N000001253,망오름산책로,관광지,일반관광지,제주특별자치도 서귀포시 표선면 토산리 산13,정보없음,33.3217624,126.7689613,남부지역,일반관광지,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000001521,선녀폭포,관광지,폭포/계곡,제주특별자치도 제주시 해안동  산220-1,정보없음,33.40257868,126.4956587,폭포,계곡,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,산,
KCLANPO23N000001532,소정방폭포,관광지,폭포/계곡,제주특별자치도 서귀포시 동홍동  ,정보없음,33.24499534,126.5775276,폭포,계곡,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,산,
KCLANPO23N000001543,수악계곡,관광지,폭포/계곡,제주특별자치도 서귀포시 남원읍 신례리 산2-5,정보없음,33.33622971,126.6111064,남부지역,폭포,계곡,제주,정보없음,정보없음,정보없음,정보없음,정보없음,산,
KCLANPO23N000001569,안덕계곡,관광지,폭포/계곡,제주특별자치도 서귀포시 안덕면 감산리 411,정보없음,33.25689043,126.3526003,폭포,계곡,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,산,
KCLANPO23N000001577,어위폭포,관광지,폭포/계곡,제주특별자치도 서귀포시 표선면 토산리 2058,정보없음,33.3202614,126.7611639,남부지역,폭포,계곡,제주,정보없음,정보없음,정보없음,정보없음,정보없음,산,
KCLANPO23N000001581,엉또폭포,관광지,폭포/계곡,제주특별자치도 서귀포시 강정동  1587,정보없음,33.26898696,126.5000129,폭포,계곡,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,산,
KCLANPO23N000001671,정방폭포,관광지,폭포/계곡,제주특별자치도 서귀포시 동홍동  278,칠십리로214번길 35,33.24474972,126.5730492,폭포,계곡,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,산,
KCLANPO23N000001700,천제연폭포,관광지,폭포/계곡,제주특별자치도 서귀포시 중문동  2232,천제연로 132,33.25266123,126.4183756,남부지역,폭포,계곡,제주,정보없음,정보없음,정보없음,정보없음,정보없음,산,
KCLANPO23N000001701,천지연폭포,관광지,폭포/계곡,제주특별자치도 서귀포시 서홍동  2565,분토왓로 46,33.24600072,126.5562701,폭포,계곡,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,산,
KCLANPO23N000001715,탐라계곡,관광지,폭포/계곡,제주특별자치도 제주시 오라이동  산107-20,정보없음,33.4020727,126.5371057,폭포,계곡,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,산,
KCLANPO23N000001770,제주청소년야영장,관광지,야영장,제주특별자치도 제주시 봉개동  234-4,명림로 387,33.45537098,126.6211201,제주,야영장,,,정보없음,정보없음,정보없음,정보없음,정보없음,체험/레저,
KCLANPO23N000001771,모구리야영장,관광지,야영장,제주특별자치도 서귀포시 성산읍 난산리 2971,서성일로 260,33.40585354,126.8207456,동부지역,제주,야영장,,정보없음,정보없음,정보없음,정보없음,정보없음,체험/레저,
KCLANPO23N000001937,고산선사유적지,관광지,유명사적/유적지,제주특별자치도 제주시 한경면 고산리 3627,정보없음,33.30551893,126.1655882,유명사적,제주,유적지,,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000001952,관덕정성지,관광지,보물,제주특별자치도 제주시 삼도이동  983-1,관덕로 19,33.51343423,126.5214977,제주,보물,,,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000001972,김녕사굴,관광지,유명사적/유적지,제주특별자치도 제주시 구좌읍 월정리 1862-6,정보없음,33.54319747,126.7751048,유명사적,제주,동부지역,유적지,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002014,대정성지,관광지,유명사적/유적지,제주특별자치도 서귀포시 대정읍 동일리 10,정보없음,33.25413921,126.2611003,유명사적,제주,유적지,,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002022,돌염전,관광지,유명사적/유적지,제주특별자치도 제주시 내도동  449-10,정보없음,33.49806369,126.4465878,유명사적,제주,유적지,,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002038,명월진성,관광지,유명사적/유적지,제주특별자치도 제주시 한림읍 명월리 2162,정보없음,33.40019543,126.2607671,유명사적,제주,서부지역,유적지,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002039,모충사,관광지,유명사적/유적지,제주특별자치도 제주시 건입동  426,정보없음,33.51643797,126.5458586,유명사적,제주,유적지,,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002073,삼성혈,관광지,유명사적/유적지,제주특별자치도 제주시 이도일동  1313,삼성로 22,33.50427116,126.5291441,유명사적,제주,유적지,,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002074,삼양선사유적지,관광지,유명사적/유적지,제주특별자치도 제주시 삼양이동  82790,정보없음,33.52333831,126.5876662,유명사적,제주,유적지,,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002151,연혼포,관광지,유명사적/유적지,제주특별자치도 서귀포시 성산읍 온평리 ,정보없음,33.41357541,126.9108096,유명사적,제주,동부지역,유적지,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002188,원당사지,관광지,유명사적/유적지,제주특별자치도 제주시 삼양일동  696,정보없음,33.52936167,126.5985287,유명사적,제주,유적지,,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002191,선사주거지,관광지,유명사적/유적지,제주특별자치도 제주시 용담이동  746-2,정보없음,33.50360202,126.5046498,유명사적,제주,유적지,,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002239,제주성지,관광지,유명사적/유적지,제주특별자치도 제주시 이도일동  1437-6,정보없음,33.51018776,126.5254974,유명사적,제주,유적지,,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002242,종달리패총유적,관광지,유명사적/유적지,제주특별자치도 제주시 구좌읍 종달리 2596,정보없음,33.49537275,126.8926242,유명사적,제주,동부지역,유적지,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002314,항몽유적지,관광지,유명사적/유적지,제주특별자치도 제주시 애월읍 상귀리 1012,항파두리로 50,33.45268416,126.4079476,유명사적,제주,서부지역,유적지,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002322,협재굴,관광지,유명사적/유적지,제주특별자치도 제주시 한림읍 협재리 355200,정보없음,33.38712316,126.2401839,유명사적,제주,서부지역,유적지,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002331,황경한묘성지,관광지,유명사적/유적지,제주특별자치도 제주시 추자면 신양리 46,정보없음,33.94568648,126.3332314,유명사적,제주,유적지,,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002332,황금굴,관광지,유명사적/유적지,제주특별자치도 제주시 한림읍 협재리 2600,정보없음,33.38675247,126.2416227,유명사적,제주,서부지역,유적지,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002521,안보물,관광지,유명사적/유적지,제주특별자치도 제주시 회천동  299866,정보없음,33.5017755,126.6016487,유명사적,제주,유적지,,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002530,연북정,관광지,유명사적/유적지,제주특별자치도 제주시 조천읍 조천리 2690,정보없음,33.54009576,126.636123,유명사적,제주,유적지,,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002685,방사탑,관광지,비/탑/문/각,제주특별자치도 제주시 조천읍 신흥리 ,정보없음,33.54890511,126.6508745,문,비,제주,각,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,탑
KCLANPO23N000002830,성읍민속마을,관광지,고택/생가/민속마을,제주특별자치도 서귀포시 표선면 성읍리 820-1,성읍서문로 14,33.38687552,126.8000524,민속마을,고택,남부지역,제주,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,생가
KCLANPO23N000002977,제주향교,관광지,서원/향교/서당,제주특별자치도 제주시 용담일동  298-8,서문로 43,33.5115155,126.5156,향교,서당,제주,서원,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000002978,대정향교,관광지,서원/향교/서당,제주특별자치도 서귀포시 안덕면 사계리 447789,향교로 165-17,33.23952274,126.2883544,향교,서당,제주,서원,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000003072,제주서당,관광지,서원/향교/서당,제주특별자치도 서귀포시 성산읍 삼달리 115-5,삼달로 32,33.37001944,126.8650301,서원,제주,서당,동부지역,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,향교
KCLANPO23N000003223,금산공원,관광지,일반유원지/일반놀이공원,제주특별자치도 제주시 애월읍 납읍리 1457-4,정보없음,33.43387091,126.330579,일반유원지,제주,서부지역,일반놀이공원,정보없음,정보없음,정보없음,정보없음,정보없음,체험/레저,
KCLANPO23N000003290,북촌돌하르방공원,관광지,일반유원지/일반놀이공원,제주특별자치도 제주시 조천읍 북촌리 976,북촌서1길 70,33.53883696,126.6888226,일반유원지,제주,일반놀이공원,,정보없음,정보없음,정보없음,정보없음,정보없음,체험/레저,
KCLANPO23N000003316,세리월드,관광지,일반유원지/일반놀이공원,제주특별자치도 서귀포시 법환동  877-1,법환상로2번길 97-17,33.24678139,126.5122871,일반유원지,제주,일반놀이공원,,정보없음,정보없음,정보없음,정보없음,정보없음,체험/레저,
KCLANPO23N000003323,솜반내,관광지,일반유원지/일반놀이공원,제주특별자치도 서귀포시 서홍동  1223-1,서홍로 64,33.25355774,126.5535655,일반유원지,제주,일반놀이공원,,정보없음,정보없음,정보없음,정보없음,정보없음,체험/레저,
KCLANPO23N000003328,수산유원지,관광지,일반유원지/일반놀이공원,제주특별자치도 제주시 애월읍 수산리 1951,정보없음,33.46984883,126.387377,일반유원지,제주,서부지역,일반놀이공원,정보없음,정보없음,정보없음,정보없음,정보없음,체험/레저,
KCLANPO23N000003369,위너스카트클럽,관광지,일반유원지/일반놀이공원,제주특별자치도 서귀포시 표선면 하천리 285-2,일주동로 5681,33.33801987,126.8434097,남부지역,일반유원지,제주,일반놀이공원,정보없음,정보없음,정보없음,정보없음,정보없음,체험/레저,
KCLANPO23N000003406,큰엉,관광지,일반유원지/일반놀이공원,제주특별자치도 서귀포시 남원읍 남원리 2390,태위로 522-12,33.27241402,126.7022238,남부지역,일반유원지,제주,일반놀이공원,정보없음,정보없음,정보없음,정보없음,정보없음,체험/레저,
KCLANPO23N000003410,토평유어장,관광지,일반유원지/일반놀이공원,제주특별자치도 서귀포시 토평동  475-2,검은여로 2,33.24325382,126.5813633,일반유원지,제주,일반놀이공원,,정보없음,정보없음,정보없음,정보없음,정보없음,체험/레저,
KCLANPO23N000003438,감귤체험농장,관광지,일반관광지,제주특별자치도 서귀포시 안덕면 사계리 763,사계로 210,33.24851958,126.3036212,일반관광지,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003440,강정천은어축제,관광지,지역축제,제주특별자치도 서귀포시 강정동  5647,정보없음,33.23296278,126.4882572,제주,지역축제,,,정보없음,정보없음,정보없음,정보없음,정보없음,지역문화/이벤트,
KCLANPO23N000003441,갯깍주상절리대,관광지,일반관광지,제주특별자치도 서귀포시 상예동  978,정보없음,33.24076097,126.3962622,일반관광지,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003442,거린사슴전망대,관광지,일반관광지,제주특별자치도 서귀포시 대포동  산2-11,1100로 823,33.30732548,126.4540557,일반관광지,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003443,거믄여해안경승지,관광지,일반관광지,제주특별자치도 서귀포시 토평동  475-4,정보없음,33.24379929,126.5816265,일반관광지,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003445,렛츠런팜,관광지,유명관광지,제주특별자치도 제주시 조천읍 교래리 산25-2,남조로 1660,33.41589177,126.6793436,제주,유명관광지,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003449,고사리축제,관광지,지역축제,제주특별자치도 서귀포시 남원읍 수망리 685,태수로 711,33.33841246,126.7090437,남부지역,제주,지역축제,,정보없음,정보없음,정보없음,정보없음,정보없음,지역문화/이벤트,
KCLANPO23N000003450,고향집,관광지,일반관광지,제주특별자치도 서귀포시 표선면 성읍리 594,성읍정의현로 96,33.39101446,126.8011339,남부지역,일반관광지,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003456,귀덕해안도로,관광지,일반관광지,제주특별자치도 제주시 한림읍 귀덕리 417229,정보없음,33.44319079,126.2886439,일반관광지,제주,서부지역,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003458,금능석물원,관광지,식물원,제주특별자치도 제주시 한림읍 금능리 1282-9,한림로 176,33.38536031,126.2268387,서부지역,제주,식물원,,정보없음,정보없음,정보없음,정보없음,정보없음,자연경관,
KCLANPO23N000003462,김녕미로공원,관광지,유명관광지,제주특별자치도 제주시 구좌읍 김녕리 산16,만장굴길 122,33.53680399,126.7724507,동부지역,제주,유명관광지,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003463,김녕해안도로,관광지,유명관광지,제주특별자치도 제주시 구좌읍 김녕리 483-4,정보없음,33.5602704,126.7628007,동부지역,제주,유명관광지,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003469,남도리쉼터,관광지,일반관광지,제주특별자치도 제주시 애월읍 신엄리 331093,정보없음,33.47716898,126.3535976,일반관광지,제주,서부지역,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003473,남원해안도로,관광지,유명관광지,제주특별자치도 서귀포시 남원읍 남원리 1408-2,태위로 536,33.27489731,126.7090426,남부지역,제주,유명관광지,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003474,남원해안도로,관광지,일반관광지,제주특별자치도 서귀포시 남원읍 태흥리 1831-3,정보없음,33.27941751,126.7308038,남부지역,일반관광지,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003475,억새오름길,관광지,일반관광지,제주특별자치도 서귀포시 성산읍 수산리 1308,정보없음,33.45012272,126.8818621,동부지역,일반관광지,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003479,논짓물,관광지,유명관광지,제주특별자치도 서귀포시 하예동  568,정보없음,33.23723652,126.3891241,제주,유명관광지,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003482,다랑쉬오름,관광지,일반관광지,제주특별자치도 제주시 구좌읍 세화리 산6,정보없음,33.47637057,126.8214831,동부지역,일반관광지,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003487,대유랜드,관광지,유명관광지,제주특별자치도 서귀포시 상예동  144,상예로 381,33.27773158,126.3953294,제주,유명관광지,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003488,대포주상절리대,관광지,유명관광지,제주특별자치도 서귀포시 중문동  317032,이어도로 36-30,33.23794234,126.4259332,남부지역,제주,유명관광지,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003490,도깨비도로,관광지,유명관광지,제주특별자치도 제주시 아라일동  산67-5,정보없음,33.4364641,126.5552395,제주,유명관광지,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003491,신비의도로,관광지,유명관광지,제주특별자치도 제주시 노형동  3766,우평로 10,33.44910122,126.488051,제주,유명관광지,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003493,도두해안도로,관광지,먹거리/패션거리,제주특별자치도 제주시 도두일동  1732-6,정보없음,33.50903827,126.471643,패션거리,먹거리,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,기타,
KCLANPO23N000003496,돈내코유원지,관광지,유명관광지,제주특별자치도 서귀포시 상효동  1503,돈내코로 128-1,33.3009572,126.5851924,제주,유명관광지,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003497,돌칸이,관광지,일반관광지,제주특별자치도 제주시 우도면 연평리 1707,우도해안길 32-24,33.49273601,126.9578463,일반관광지,제주,바다 전망,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003499,돔베낭골,관광지,일반관광지,제주특별자치도 서귀포시 호근동  1608-2,정보없음,33.23965677,126.5330932,일반관광지,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003500,동복관광체험어장,관광지,일반관광지,제주특별자치도 제주시 구좌읍 동복리 687-10,구좌해안로 35,33.55553881,126.7188131,동부지역,일반관광지,제주,바다 전망,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003501,동복해안도로,관광지,일반관광지,제주특별자치도 제주시 구좌읍 동복리 716-2,정보없음,33.5538527,126.7169343,동부지역,일반관광지,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003502,동부레저,관광지,일반관광지,제주특별자치도 서귀포시 표선면 성읍리 2873,번영로 2454,33.40880858,126.7702617,남부지역,일반관광지,제주,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003510,만장굴,관광지,유명관광지,제주특별자치도 제주시 구좌읍 월정리 산41-15,만장굴길 182,33.52816783,126.7700321,동부지역,제주,유명관광지,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000003518,방어축제,관광지,지역축제,제주특별자치도 서귀포시 대정읍 하모리 1089-35,신영로36번길 48-15,33.21849447,126.2483128,제주,지역축제,,,정보없음,정보없음,정보없음,정보없음,정보없음,지역문화/이벤트,
