ID,명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,쉬는날,개장기간,이용시간,입장료,체험가능연령,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
홀스랜드(어승생승마장),63078,,,제주특별자치도 제주시 1100로 2659 (노형동),33.4257880081,126.4904193601,"홀스랜드(어승생승마장)은 제주시에 위치해 있고 승마와 목장체험을 동시에 즐길 수 있는 복합레저단지이다. 제주 유일 미국 서부를 테마로 한 공간이며 10만평 규모의 넓은 초지가 있어  말을 타고 초원을 달릴 수 있다. 외승을 나가지 않더라도 구보로 400m 이상을 쉬지 않고 전력질주 할 수 있다. 또한 말에 처음 오르는 초보자도 교관의 도움을 받아 평보부터 속보  경속보  구보까지 원스텝으로 경험할 수 있는 프로그램이 있다.
해발 530m에 위치하여  날씨가 좋은 날에는 에메랄드빛 제주바다를 볼 수 있고 웅장한 한라산까지 조망이 가능하다.",,,,연중무휴,,"[승마 투어]<br>- 3~10월 09:00~19:00<br>- 11~2월 09:00~17:30<br>[목장 투어]<br>- 화/수/목 14:00, 17:00<br>※ 일몰 시간에 따라 영업마감시간이 변동될 수 있음",,"홈페이지 <a href=http://www.jejuhorse.com"" target=""_blank"" title=""새창 : 어승생승마장 홈페이지로 이동"">http://www.jejuhorse.com</a><br />",,,,,,,
4세이상 가능,가능 (소형 20대),없음,,,가능,"이용요금:체험승마 : 2 500m 60 000원 / 1 000m : 35 000원<br>
스페셜승마 : 60분 120 000원 / 45분 90 000원<br>
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망
부대시설:위생시설-화장실 탈의실<br />
기타시설- 호텔식 야외테라스
",,,,,,,,,,,,,,,,
오케이 승마장,63624,,,제주특별자치도 서귀포시 표선면 번영로 2595 ,33.4028035598,126.7832055888,오케이승마장은 성읍민속마을 부근에 위치한 외승 전문 승마장이다. 초보자 기본 교육이 진행되며 기수가 동행한다. 수준별 마필과 코스를 보유하고 있어 승마체험이 처음이어도 안심하고 즐겁게 탈 수 있다. 10만 평의 광활한 초원  작은 오름과 억새밭 삼나무가 우거진 새로운 세계에서 자연  인간  동물  삼위일체로 호흡하는 승마만이 느낄 수 있는 체험을 경험할 수 있다.,,"마평 - 50,000평, 관람석 - 자연관람석",,연중무휴,,09:30~17:00 (휴게시간 12:00~13:00)<br> 하절기 입장마감 17:00<br> 동절기 입장마감 16:30,,"※ 외승트레킹, 해변승마는 반드시 사전 예약<br />
전화 문의 064-787-3066",,주차 가능,없음,,,없음,"이용요금:※ 자세한 사항은 전화문의
부대시설:대기실  주차장  휴게실  탈의실  마사1동  

"
알프스승마장 포니,63624,,,제주특별자치도 서귀포시 표선면 서성일로 73 ,33.3984571317,126.8026956656,알프스 승마장 포니는 제주도 서귀포시 표선면 성읍리에 위치한 승마장이다. 알프스 승마장 포니의 코스는 푸른 초원을 달리는 초원 코스  대초원과 오름을 배경으로 달리는 낮은 동산 코스의 승마체험과 먹이주기 체험이 있다. 성읍 민속마을과 영주산이 주변에 위치해있어 아이들과 좋은 경관을 감상하고 체험하기 좋다.,,,,연중무휴 (우천시 휴무),,10:00~17:00 (휴게시간 12:00~13:00)<br>※ 계절에 따라 변경 가능,,,전 연령 가능 (90kg 이상 및 임산부/노약자 이용불가),가능,없음,,,가능,"이용요금:초원코스 25 000원<br>
낮은동산코스 35 000원<br>
※ 변동가능하므로 전화문의 요망<br>
"
송당승마장,63355,,,제주특별자치도 제주시 구좌읍 번영로 2015 ,33.4364796714,126.7381920554,제주 여행에서 빠질 수 없는 승마를 즐길 수 있는 송당승마장은 단거리코스부터 산책코스까지 다양한 승마 코스가 있으며 1시간 자유승마도 가능하다. 남녀노소 모든 연령이 즐길 수 있으며 처음 승마를 접하는 초보자들도 교관들의 친절한 지도하에 쉽고 즐겁게 승마를 배울 수 있다.,,,,연중무휴,,09:00~17:00<br>(입장마감 16:30),,,,가능,없음,,,없음,"코스안내:기본코스  목장코스  초원코스  산책코스

이용요금:- 기본코스 15 000원<br>
- 목장코스 30 000원<br>
- 초원코스 40 000원<br>
- 산책코스 70 000원<br>
※ 해당 시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 전화 문의
부대시설:휴게실  컴퓨터실  승마교련장  탈의실
"
탐라승마장,63346,,,제주특별자치도 제주시 조천읍 비자림로 1044 ,33.4330602647,126.7169550866,1983년에 오픈한 ‘탐라승마장’은 31년 전통을 지닌 승마장이다. 80여두의 잘 훈련된 한라마와 조랑말을 보유하고 있으며  처음 타는 초보자도 쉽게 승마할 수 있다. 말 탑승 전 승마 모자를 착용 후 승마탑승을 시작한다. 주의사항으로는 승마체험자  대기자  일행은 체험이 끝날 때까지 교관의 통제에 반드시 따라야 하며 승마장 말들은 익숙하지 않은 사람이나 사물에 의해 놀랄 경우가 있어 안전을 위해 대기실에서 촬영을 해야 한다.,,,,연중무휴,,[하절기]<br>- 09:00~17:00 <br>[동절기]<br>- 09:00~16:00,,전화 문의 064-782-5577,만 10세 이상,가능,없음,,,없음,"이용요금:[탐라코스]<br>
- 15 000원<br>
[산책코스]<br>
- 40 000원 
부대시설:휴게실
"
제주해양레저,63547,제주해양레저,,제주특별자치도 서귀포시 중문관광로 192 ,33.2432598241,126.4190129892,제주해양레저는 중문관광단지 내 안전하고 스릴 있게 해양레포츠를 즐길 수 있는 국내 유일의 체험관광상품이다. 중문대로 주상절리대  중문해수욕장  형제섬  송악산  범섬 및 기암절벽의 해안 절경과 동시에 한라산의 아름다운 비경을 낙하산을 타고 최저 30m에서 최고 200m 상공에서 만끽할 수 있다. 직원들 모두 안전요원 자격 및 조정면허 1급 자격을 갖추고 있어 안전하게 레저를 즐길 수 있다.,,,,,,09:00~18:00<br>※ 전화문의 요망,,064-738-5111~2,,,없음,,,없음,"포인트안내:
이용요금:※ 프로그램 별 상이하므로 홈페이지 참고
체험프로그램:파라세일링 / 스노쿨링 / 와플땅콩 / 바나나보트 등
주요시설:
"
서귀포시청소년수련관,63558,,,제주특별자치도 서귀포시 중산간서로 97-1 (강정동),33.2607119261,126.4982279520,서귀포시 청소년들의 성장을 위한 열린 공간이다. 청소년들이 자발적으로 참여할 수 있는 자치활동을 펼칠 수 있는 공간과 새로운 것을 배우고 느끼기 위한 프로그램을 운영한다. 청소년문화축제와 봉사활동 등 다양한 활동을 통해 건전한 가치관을 형성하고 자아실현을 이룰 수 있도록 한다. 더 나아가 생활권 내 수련시설로서 지역공동체 문화공간을 이루는데 목적이 있다. 주요 시설은 음악연습실  난타실  공연연습실  강의실  농구장 등을 갖추고 있다.,,,,매주 월요일 / 1월1일 / 설·추석 연휴,,09:00-20:00,,,,,없음,,,없음,"주요시설:[2층]<br>
- 사무실  안내데스크  DVD부스  인터넷부스  탁구장  보드게임  노래방  북카페  공연연습실<br>
[3층]<br>
- 청소년방과후아카데미 교실  사무실  다목적실  프로그램실
"
크라운컨트리클럽,63339,크라운컨트리클럽,064-784-4811,제주특별자치도 제주시 조천읍 북선로 125 (조천읍),33.5284188131,126.6952159042,"제주도의 이국적인 분위기를 즐길 수 있는 곳. 크라운컨트리클럽은 제주 골프장 중에서 해발이 가장 낮은 곳에 위치하여 지리적 입지조건은 최상이기 때문에 연중무휴 라운딩이 가능하다. 최근 이용객의 보다 쾌적한 골프 환경을 제공하기 위하여 과감한 투자를 시행  31실 규모의 골프빌리지를 완공하였고 클럽하우스 및 코스는 리노베이션 공사를 통하여 새 단장하였다. 

(출처 : 크라운컨트리클럽)",,,,연중무휴,,,,"* 전화예약 : 대표번호 064-784-4811 / 예약직통 064-784-3322~3<br /
>* 팩스예약 : 064-784-4812<br /> 
<br />* 예약일시 : 30일전 예약을 원칙으로 함<br />* 예약 가능 시간 
: 주중 09:00~18:00<br />* 예약시 기록사항 : 예약일자, 예약자명, 
경기시간 <br /> <a href=http://www.jejucrowncc.co.kr"" target=""_blank"" title=""새창 : 크라운컨트리클럽 홈페이지로 이동"">www.jejucrowncc.co.kr</a>""",,가능,없음,,,없음,"코스안내:서코스 9홀 36파 3 242m(3 242yd) <br />
남코스 9홀 36파 3 227m(3 227yd) <br />
동코스 9홀 35파 2 675m(2 675yd)
이용요금:[그린피]<br>
- 160 000원~200 000원<br>
[카트비]<br>
- 100 000원<br>
※ 이용요금은 수시로 변동됨에 따라 홈페이지 참조 및 전화문의 요망
부대시설:대식당  커피숍  그늘집  프로샵

"
중문골프클럽,63535,,,제주특별자치도 서귀포시 중문관광로72번길 60 (색달동) ,33.2501588629,126.4063028265,중문관광단지에 위치한 중문골프클럽은 해안절벽을 따라 30여 만평 부지에 18홀 규모로 1981년에 조성되었다. 수려한 자연경관과 계곡을 낀 국내 유일의 해안코스를 따라 라운딩이 가능하며  계절마다 다른 느낌의 코스로 즐길 수 있다. 또한  양잔디로 시공하여 연중 푸르고 쾌적한 라운딩을 즐길 수 있다. 본래 회원제 골프장이지만  국내외 관광객 이용기회를 확대하기 위하여 관광객 공유개념의 비회원제로 운영을 하고 있다. 철저한 사전예약제 운영으로 예약질서 확립 및 외국관광객 우선 예약을 실시하고 있다. 수려한 주변경관과 단지 내의 다양한 관광시설들을 이용할 수 있어 관광의 즐거움을 더해준다.,,,,"연중무휴<br>※ 예약실 휴무일 : 주말, 설·추석 당일",,일출 20분 전~일몰 20분 후까지,,전화 예약 / 홈페이지 예약,,가능,없음,,,없음,"코스안내:한라코스 / 해안코스
이용요금:[그린피 ]<br>
- 18홀 : 주중 101 000원 / 주말  공휴일 138 000원<br>
- 9홀 : 주중 51 000원 / 주말  공휴일 69 000원<br>
※ 평일 2인 플레이 가능 (갤러리 포함 2인 라운딩 불가)<br>
※ 주말 및 공휴일 2인 플레이 불가(갤러리 포함 3인 요금 지불 시 플레이 가능. 단  반드시 3인 출발 / 2인 출발 후 1인 중간 합류 불가)<br>
※ 갤러리는 반드시 초등 1 이상  중간 퇴장 시 환불 불가<br>
<br>
[골프카] <br>
- 18홀 80 000원(1대)<br>
- 9홀 40 000원(1대)<br>
<br>
[캐디피]<br>
- 2인 140 000원(18홀)<br>
- 3인 이상 150 000원(18홀)<br>
- 9홀 추가 80 000원<br>
<br>
[골프채 대여료]<br>
- 18홀 50 000원<br>
- 9홀 25 000원<br>
<br>
[골프화 대여료]<br>
- 18홀 5 000원<br>
- 9홀 5 000원
부대시설:식당 / 프로샵 / 골프연습장
"
제주월드컵경기장,63572,제주월드컵경기장,064-760-3623,제주특별자치도 서귀포시 월드컵로 33 (법환동),33.2462886912,126.5092023235,제주월드컵경기장은 서귀포시외버스터미널 바로 옆에 자리하고 있다. 42 256명 수용 규모로 2002년 FIFA 월드컵을 위해 만들어진 축구 전용 경기장이다. 발아래로 스탠드가 놓여있고 4계절 푸른 잔디가 지하 14m 아래에 자리한 특이한 형태를 지녔고 경기장 스탠드 위와 데크 등 곳곳에서 푸른 바다와 그 위에 점점이 떠있는 섬과 한국 제일의 한라산을 한눈에 볼 수 있는 주변의 자연과 조화를 이루는 경기장이다.,,지하 1층~지상 5층,,연중무휴,,[3월~10월]<br>- 06:00~22:00<br>[11월~2월]<br>- 07:00~22:00<br>[월드컵홍보관]<br>- 09:00~18:00,,,전연령,가능,없음,,,없음,
대유랜드,63548,대유랜드,,제주특별자치도 서귀포시 상예로 381 (상예동),33.2776445400,126.3950726325,한라산록의 광활한 초원 어디서나 꿩  멧비둘기를 비롯하여 많은 조수가 서식하고 있어 제주도 전역이 수렵장으로 최적지이며  특히 제주도에 서식하고 있는 꿩은 타지방의 꿩보다 빛깔과 색깔이 아름다워 외국 수렵인들의 사랑을 받고 있다. 약 120만평 규모의 대유수렵장은 상설로 운영되고 있다. 여기서 잡을 수 있는 조수로는 주로 꿩으로 누구나 일정액의 입렵료만 내면 언제든지 무제한의 사냥을 즐길 수 있다.이 수렵장에는 약 800평 규모의 꿩을 기르는 사육장과 클럽하우스 그리고 야외 사격장이 있다. 이 수렵장은 8㎞ 떨어진 중문관광단지와 함께 중요한 관광권역을 이루고 있다.,,,,,,"11~2월 : 09:00~17:30 (12월 17:00)<br />
3~4월, 9~10월 : 09:00~18:00 <br />
5~8월 : 09:00~18:30 (7월말~8월중순 19:00)<br />
※ 자세한 이용시간은 전화문의",,064-738-0500,* 사격 : 만 14세 이상 <br /> * ATV : 16세 이상 (어린이 동승가능),가능,없음,,,없음,"이용요금:* 권총사격<br />
10~12발 - 35 000원 / 24발 - 70 000원
* 소총사격<br />
M&P15  SG551(12발기준) - 35 000원 <br />
* 클레이사격<br />
16발 - 45 000원
부대시설:수렵락카실  의류/잡화매장  커피숍  주차장

"
제주제트,63543,,,제주특별자치도 서귀포시 대포로 172-5 (대포동),33.2384245706,126.4395613149,제주 서귀포시 대포로에 위치한 제주제트는 스릴 넘치는 해상 레포츠를 즐길 수 있는 명소이다. 제주도 최초로 뉴질랜드에서 직수입한 제트보트를 도입하여 안전하고 짜릿한 체험을 제공한다. 제주 주상절리의 절경을 바라보며 숨 돌릴 틈 없는 재미를 선사하는 다양한 해양 스포츠를 즐길 수 있다. 또한  제주 바다와 하늘의 아름다움을 동시에 즐길 수 있는 파라세일링 체험이 가능하다. 제트보트와 주상절리 배낚시는 사계절 내내 즐길 수 있어  바다 위 짜릿한 스릴과 더불어 제주 자연의 아름답고 신비로운 광경을 만끽할 수 있다. 제주제트는 연중무휴로 운영되며  가족  친구  연인과 함께 제주에서의 특별한 추억을 만들 수 있는 장소이다.,,,,연중무휴,,09:00~18:00,,,만 5세 이상,가능,없음,,,가능,"이용요금:- 제트보트 25 000원<br>
- 파라세일링 70 000원<br>
- 주상절리 배낚시 30 000원<br>
- 주상절리 단독 배낚시 200 000원<br>
※ 자세한 사항은 전화문의 요망
체험프로그램:제트보트 / 파라세일링 / 주상절리 배낚시

"
바지선 선상낚시(토평동유어장),63596,바지선 선상낚시,010-7298-2428,제주특별자치도 서귀포시 칠십리로 56 제주해양경비안전서 서귀포지서 ,33.2400068886,126.5620812154,서귀포 정방폭포와 칼호텔 앞에 떠있는 바지선 관광 선상낚시에서는 체험 관광 낚시를 보다 편리하고 간편하게 즐길 수 있다. 하루에 5회 이상 배가 운행하며 원하는 시간만큼 낚시를 즐길 수 있다. 온라인으로 예약 후 방문하면 편리하게 이용이 가능하며 미끼와 왕복 선비는 별도로 지불해야 한다. 홈페이지를 통해 조황 정보를 공지하고 있다.,,,,,,,,010-7308-7089,,,없음,없음,없음,없음,"이용요금:[기본 2시간]<br/>
- 성인 20 000<br/> 
- 초등학생 10 000<br/>
- 미취학 아동 무료<br/> 
[4시간~6시간]<br/>
- 성인 30 000<br/> 
- 초등학생 20 000<br/>
- 미취학 아동 무료<br/>
[8시간(종일)]<br/>
- 성인 40 000<br/> 
- 초등학생 30 000<br/>
- 미취학 아동 무료<br/>
※ 위 금액은 1인 기준 금액<br/>
※ 미끼  왕복 선비 별도<br/>

"
성읍승마장,63624,,,제주특별자치도 서귀포시 표선면 번영로 2650 ,33.3985735348,126.7871331230,성읍승마장은 제주도의 아름다운 자연 경관을 배경으로 넓은 마장을 갖춤으로써 사계절 동안 언제든지 승마운동을 즐길 수 있다. 그리고 성읍승마장은 제주도 최초의 승마장으로 20년 넘는 전통과 성읍만의 노하우를 자랑하고  초보자들도 쉽고 안전하게 승마를 즐길 수 있도록 지원하고 있으며 다양한 코스를 준비하여 제주도의 낭만을 말을 타고 즐길 수 있다. 교육과 훈련이 잘된 말들만을 다량 보유하고 있어 남녀노소 모두가 즐길 수 있다. 승마장비는 무료로 대여하고 있고  넓은 주차공간으로 인하여 주차시 혼잡을 최소화 하고 있다.,,,,연중무휴,,10:00 ~ 17:30,,,,가능,없음,,,없음,"이용요금:[15분 둘레코스]<br>
- 30 000원<br>
[20분 더블코스]<br>
- 40 000만원<br>
[30분 고급외승트래킹]<br>
- 60 000원<br>
※ 자세한 요금 안내는 전화 문의 바람 
"
이어도 승마장,63632,이어도 승마장,,제주특별자치도 서귀포시 성산읍 서성일로 269 ,33.4075841954,126.8209772059,"모구리알오름 근처  3만 평의 넓은 초원에서 말을 타고 재미있고 신나게 즐길 수 있도록 1992년 6월에 개장한 승마장이다. 말을 오랜 시간에 걸쳐  교육을 잘 시켜 초보자들이 쉽게 탈 수 있다. 적토마  백마  흑마 등 다양한 색의  말 약 20필 정도와 망아지를 포함한 약 80필 정도를 기르고 있으며 승마 초보자도 안전하게 승마 코스를 돌 수 있도로 현장에서 요원이 지도하고  총 4가지 코스를 운영하는 승마 체험장으로 특히 초보자들에게 인기가 많은 곳이다.
성산일출봉을 등지고 앞으로는 제주에서 가장 웅장한 한라산이  양옆으로는 멋있는 오름들이 솟아 아름다운 경치를 뽐내고 있다.",,"30,000여평",,매달 16일 / 30일 휴무,,10:00~16:30  <br>※ 기상 및 업체 사정으로 운영시간 변경 가능,,,"-4세 이상 단독 탑승 가능(동승 시 동승료 5,000원 별도) <br>-100Kg 이상 탑승 불가",가능,없음,,,없음,"할인정보:<a href=https://m.booking.naver.com/booking/5/bizes/187670?area=plt "" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://m.booking.naver.com</a>"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
제주승마공원,63066,제주승마공원,,제주특별자치도 제주시 애월읍 녹고메길 152-1 (애월읍),33.4050889621,126.4061271508,애월읍 유수암리에 위치한 제주승마공원은 제주의 아름다운 중산간 초원을 말과 함께 즐길 수 있는 곳이다. 말과 함께 펼치는 기승쇼  부부 승마 아카데미  어린이 승마 캠프  기업체 승마 워크숍 등 승마 레저 스포츠 프로그램을 운영하고 있으며 최장 거리의 승마 트레킹 코스를 갖춰 원하는 코스를 다양하게 선택할 수 있다. 또한 최고의 강사진이 철저한 안전 관리 등으로 편안하고 안전하게 승마를 즐길 수 있어 초보자도 쉽게 승마를 접할 수 있다. 사전에 신청하면 승마 스냅사진을 찍고 특별한 추억도 남길 수 있다.,,,,매주 화요일,연중무휴,09:30~17:00 (입장 마감 16:30),,,,가능,없음,,,가능,"이용요금:- 곶자왈(숲길)A 15분 44 000원<br>
- 곶자왈(숲길)B 30분 66 000원
장애인 편의시설:장애우 화장실 1개소
부대시설:* 위생시설 - 화장실  탈의실  샤워실<br />
* 기타시설 - 승마용품 판매소
"
