ID,명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,판매품목,품목별 가격,장서는 날,개장일,영업시간,쉬는날,매장안내,주차시설,문화센터 바로가기,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,화장실,상세정보
2765345,함덕민속오일시장,63333.0,,,제주특별자치도 제주시 조천읍 함덕16길 15-13 ,33.5402420671,126.6679763333,함덕 민속 오일시장은 제주시 조천읍 함덕리에 있는 전통 시장이다. 함덕 해수욕장과 마주 보고 있으며  장날은 1일과 6일이다. 함덕해수욕장과 가깝고  주민들이 꾸준히 찾는 곳이라 관광객과 현지인들이 자연스레 어우러지는 곳이다. 규모는 그리 크지 않은 편으로 총 점포 수는 40개 정도이다. 취급 품목은 의류  농수산물  야채  철물  건어물  반찬  아동복 및 침구류  분식 등으로 그 가운데 생선류의 품질이 좋고 점포도 많은 편이다. 정겨운 시장 먹거리도 있어 눈과 입이 즐거운 곳이다.,064-783-8559,,"각종 수산물, 정육, 과일, 채소, 잡화, 의류, 곡물, 기름, 간식거리, 식당 등",,"1일, 6일, 11일, 16일, 21일, 26일","1일, 6일",08:00 ~ 14:00 (매장 별 상이),매달 31일 휴무,점포 약 40개,가능 (공영주차장),,없음,,가능,가능 (남녀 구분),
2788115,제주기념품가게 올레파머스 함덕점,63333.0,,,제주특별자치도 제주시 조천읍 조함해안로 528 ,33.5425390555,126.6692595025,제주시 함덕 서우봉 해변 바로 앞에 자리한 기념품 가게다. 제주여행을 더욱 특별하게 기억하게 만들어줄 다양한 기념품들이 준비되어 있는데 제주 바다를 형상화한 소주잔부터 제주 명소들이 그림으로 그려진 그립 톡  싱그러운 색감의 감귤 코스터 등 일상에서 유용하게 사용할 수 있는 제품들이 대부분이어서 여행자들도 부담 없이 들르기 좋다. 제주 곳곳의 아름다움을 사진으로 담아낸 엽서와 제주의 향기를 고스란히 품은 디퓨저도 눈길을 끈다. 유명 초콜릿 브랜드에서 만든 감귤초콜릿을 비롯해 우도땅콩 초코스틱  카카오 감귤 칩  제주흑돼지 육포  제주 과일청 등 지역 특산물로 만든 먹거리도 선물용으로 제격이다. 24시 무인매장 운영 중으로 제주 여행 중 편하게 방문하기에 좋다.,064-782-7995,,제주기념품,,,,00:00~24:00,연중무휴,,가능,,없음,,없음,,
2847506,이후북스 제주점,63168.0,,,제주특별자치도 제주시 관덕로4길 3 ,33.5126316662,126.521248048,이후북스는 제주 시내에 위치한 독립책방이다. 간판을 보면 오래된 책방  작고 조용한 동네책방 같다. 입구에는 매일 좋은 글귀를 적어두어  들어가기 전 글을 감상할 수 있다. 작은 공간에 일반서점에서는 볼 수 없는 책들이 알차게 채워져 있다. 제주의 분위기를 느낄 수 있는 책들도 많이 구비되어 있다. 제주도에 방문하면 한 번쯤 들려보기 좋은 서점이다.,010-3022-8520,,,,,,12:00~18:00,인스타그램 별도 공지,,,,,,,,
2848391,클래식문구사,63168.0,,,제주특별자치도 제주시 관덕로4길 1-2 ,33.5126538873,126.5213619265,클래식문구사는 제주 원도심에 위치한 문구편집숍이다. 어른들과 전문가를 위한 위한 문구류를 판매하고 있다. 연필  지우개  공책 등 문구류뿐만 아니라 감자칩  민트캔디  치약 등 다양한 식재료들을 판매하는 작은 마켓도 운영하고 있다. 특유의 따뜻한 분위기가 어릴 적 문구점을 방문했던 향수를 일으킨다. 정갈하지만 감각 있게 진열된 소품들도 소장욕구를 일으킨다.,0507-1441-5128,,연필 마스킹테이프 노트 빈티지용품,,,,10:00~18:00,연중무휴,,없음 (인근 공영주차장 이용),,,,가능,,
2859034,제스토리,63573.0,,,제주특별자치도 서귀포시 막숙포로 60 ,33.2361121271,126.5149353881,다제스토리는 범섬이 보이는 법환포구에 위치해 있다. 1  2층으로 이뤄진 제스토리는 2층 넓은 통창으로 아름다운 제주 남쪽 바다가 한눈에 보인다. 이곳은 서귀포 최대 규모 감성 소품샵으로 제주도 작가 300팀과 함께 만든 제주 바이브가 듬뿍 담긴 다양한 소품들을 만날 수 있다. 제주를 여행하며 찍은 기념사진을 소나무 원목에 인화하는 우드프린트가 있으며  기억상점 포스트잇을 비롯해 다양한 먹거리  캔들  방향제  마그넷  엽서 등 제주스러운 기념품들을 판매하고 있다.  매장에서 10만 원 이상 구매 시 무료 택배 서비스를 이용할 수 있다.,064-738-1134,,"제주기념품, 가공식품, 우드프린트 등",,,,09:00~21:00,연중무휴,,가능,,없음,가능,가능,,
2902472,제주사랑농수산 제주,63358.0,,,제주특별자치도 제주시 구좌읍 행원로13길 66 ,33.5534041286,126.8174213868,-,064-782-1101,,"악세서리,향수 및 화장품",,월~일요일,,09:30-18:00,,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2902945,핑골프 신제주,63132.0,,,"제주특별자치도 제주시 신광로 72, 1층(연동) ",33.4856563741,126.4898430568,-,064-745-5522,,스포츠 용품 및 의류,,월~일요일,,11:00~22:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2904287,클라이드 제주지하,63168.0,,,제주특별자치도 제주시 중앙로 지하60 (일도일동) 203호 ,33.5131899914,126.5246421845,-,064-721-6350,,"남성의류,여성의류",,월~일요일,,10:00-21:00,,환급서비스 제공방식 : 사후,불가능,,,,가능,완비,
2860687,동문공설시장,63264.0,,,제주특별자치도 제주시 일도일동 1144-28,33.5125567854,126.5282113326,제주동문공설시장은 제주에서 가장 오랜 역사를 가진 재래상설시장  동문재래시장과 연결되어 있다. 주차장과 연결되고 야시장이 있어 많은 여행자가 이용한다. 다양한 토산품과 먹거리가 있어 여행을 마치고 공항 가는 길에 들르는 여행자가 많으며  여러 차례 방송에 소개되기도 하였다. 감귤  옥돔 등 선물로 구매하고자 하는 여행자들은 바로 택배 발송할 수 있어 편리하게 이용할 수 있다. 근처 여행지로 제주 원도심  삼성혈  제주 성지 등이 있다.,064-722-5109,,"제주특산물, 수산물, 잡화류 등",,,,08:00~21:00 (점포별 상이),연중무휴 (점포별 상이),,약 130대,,,,,,
2904321,피플 제주시청,63207.0,,,"제주특별자치도 제주시 신성로13길 19, 1층(이도이동) ",33.4985889149,126.5299559434,-,064-7230-4330,,"가죽 제품 및 가방,남성의류,시계,악세서리,여성의류,기타 소매",,월~일요일,,11:00-24:00,,환급서비스 제공방식 : 즉시,불가능,,,,가능,,
2905162,K2_서귀포점,63591.0,,,제주특별자치도 서귀포시 중정로 101(서귀동) ,33.2488671032,126.5671583543,-,064-763-7600,,"기타 패션 및 의류,남성의류,신발,여성의류",,월~일요일,,10:00-21:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2905172,까스텔바작(제주),63133.0,,,제주특별자치도 제주시 노연로 104(연동) ,33.4856619535,126.4913707011,-,064-744-8488,,스포츠 용품 및 의류,,월~일요일,,11:00-22:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2905414,트리플스토어,63207.0,,,제주특별자치도 제주시 중앙로 246-1 (이도이동) ,33.4979223339,126.5307281133,-,064-751-5545,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,보석(장신구),여성의류",,월~일요일,,12:30-23:00,,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2905423,먼싱웨어제주점,63277.0,,,제주특별자치도 제주시 관덕로11길 24 ,33.515273111,126.525703156,-,064-757-3316,,"스포츠 용품 및 의류,신발,악세서리",,월~일요일,,10:00-21:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2905442,랩 제주점,63124.0,,,제주특별자치도 제주시 신광로 31 ,33.4894087451,126.4903595932,-,064-744-6997,,"남성의류,여성의류",,월~일요일,,11:30-21:00,,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2907051,블랙야크 제주노형,63098.0,,,"제주특별자치도 제주시 도령로 25, 1층 ",33.4875782549,126.4817270519,-,064-746-1811,,스포츠 용품 및 의류,,월~일요일,,10:00-22:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,완비,
2907434,생각하는정원(청원),63005.0,,,제주특별자치도 제주시 한경면 녹차분재로 675 ,33.3259147876,126.2552920289,-,064-772-3701,,기념품점,,월~일요일,,09:00-18:00,,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2907667,탐라원 제주,63234.0,,,제주특별자치도 제주시 연북로 381 (도남동) ,33.4810657321,126.5222764525,-,064-758-1052,,"기념품점,악세서리,향수 및 화장품,기타 소매",,월~일요일,,08:00-18:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2908433,레노마골프,63088.0,,,제주특별자치도 제주시 노형5길 23 ,33.4804289525,126.475841614,-,064-742-7420,,"남성의류,신발,악세서리,여성의류",,월~일요일,,10:00-21:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2908598,성산포수협직판장 제주,63643.0,,,제주특별자치도 서귀포시 성산읍 성산등용로 130-19 ,33.4729399097,126.9337964836,-,064-784-3136,,식료품,,월~일요일,,08:00-18:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2909373,Triple,63277.0,,,제주특별자치도 제주시 관덕로15길 15 ,33.5146620811,126.5265697609,-,064-723-5545,,"기타 패션 및 의류,남성의류,스포츠 용품 및 의류,여성의류",,월~일요일,,11:30-21:00,,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2909867,에스콰이아 제주칠성,63277.0,,,제주특별자치도 제주시 관덕로11길 29(일도일동) ,33.515770275,126.5254864972,-,064-759-0659,,신발,,월~일요일,,11:00-21:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2909972,비너스 서귀포,63595.0,,,제주특별자치도 서귀포시 중정로 80-1 (서귀동) ,33.2481143731,126.5649780046,-,064-732-8343,,란제리(속옷),,월~토요일,,10:00-20:00,일요일,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2910031,청담루이성형외과,63083.0,,,제주특별자치도 제주시 노형14길 14 ,33.4845257839,126.4797856231,-,064-712-8999,,기타 소매,,월~토요일,,10:00-19:00,공휴일,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2910064,나이키골프 제주연동,63133.0,,,"제주특별자치도 제주시 신대로 136, 104호 ",33.4851037568,126.4960453079,-,064-742-2163,,"남성의류,스포츠 용품 및 의류,여성의류",,월~일요일,,10:00-21:30,,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2910664,레노마홈 신제주노형점,63133.0,,,제주특별자치도 제주시 신대로 136 ,33.4851037568,126.4960453079,-,064-753-640시,,기타 소매,,월~일요일,,10:00-20:00,명절,환급서비스 제공방식 : 즉시+사후,가능,,,,가능,,
2910854,이마트 서귀포,63572.0,,,제주특별자치도 서귀포시 일주동로 9209 (법환동) ,33.2483745716,126.5091272831,-,064-797-1051,,"가구 및 홈데코,남성의류,란제리(속옷),스포츠 용품 및 의류,신발,아동의류,악세서리,여성의류,전자제품,향수 및 화장품,기타 소매",,"월~금요일, 일요일",,10:00-23:00,,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2911298,웨스트우드 제주칠성,63277.0,,,제주특별자치도 제주시 관덕로 65 ,33.5133594432,126.5262698171,-,064-722-7979,,"가죽 제품 및 가방,스포츠 용품 및 의류,기타 소매",,월~일요일,,10:00-21:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2911418,올리브영 제주대학병원,63241.0,,,"제주특별자치도 제주시 중앙로 616, 102호(아라일동) ",33.4687980405,126.547055133,-,064-721-0076,,향수 및 화장품,,월~일요일,,09:30-21:00,,환급서비스 제공방식 : 사후,가능,,,,가능,,
2911502,아다다스골프,63133.0,,,제주특별자치도 제주시 신대로 136 코스모스태홍누리안 5차 101호 ,33.4851037568,126.4960453079,-,064-747-3939,,스포츠 용품 및 의류,,월~일요일,,10:00-21:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2911661,올리브영 제주노형,63086.0,,,제주특별자치도 제주시 노형동 709 ,33.4816233574,126.4816883012,-,064-749-5290,,"전자제품,향수 및 화장품,기타 소매",,월~일요일,,10:00-22:00,,환급서비스 제공방식 : 즉시+사후,가능,,,,가능,완비,
2912378,데상트 제주서귀,63595.0,,,"제주특별자치도 서귀포시 중정로 88, 1층 ",33.2482227074,126.5657390473,-,064-732-5480,,"남성의류,신발,아동의류,여성의류",,월~일요일,,10:00-21:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,완비,
2912430,풋조이 신제주,63138.0,,,제주특별자치도 제주시 연북로 76 ,33.4815790407,126.489409853,-,064-747-7217,,"남성의류,신발,악세서리,여성의류",,월~일요일,,10:00-21:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2912583,KK제주지점(금강_금강제화),63277.0,,,제주특별자치도 제주시 관덕로 57 ,33.5133288789,126.5255198828,-,064-753-9968,,신발,,월~일요일,,11:00-21:00,명절,환급서비스 제공방식 : 즉시+사후,불가능,,,,가능,,
2914023,글라스스토리 제주연동,63133.0,,,제주특별자치도 제주시 연동 284-5 ,33.4856147617,126.492923345,-,064-711-2476,,안경,,월~일요일,,09:30-21:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2914232,무크,63277.0,,,제주특별자치도 제주시 칠성로길32-1 ,33.514289896,126.5263142365,-,064-757-1230,,신발,,월~일요일,,11:00-20:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2914262,명동의류,63277.0,,,제주특별자치도 제주시 관덕로13길 1 ,33.5133872087,126.5257170863,-,064-751-5601,,"남성의류,아동의류,여성의류",,월~일요일,,10:00-21:30,,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2915132,아리따움 제원점,63131.0,,,제주특별자치도 제주시 신광로6길 1 ,33.487856128,126.4896485792,-,064-747-0234,,향수 및 화장품,,월~일요일,,10:00-22:00,,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2916247,로가디스,63166.0,,,제주특별자치도 제주시 칠성로길10 ,33.5136871519,126.5242061001,-,064-722-0350,,남성의류,,월~일요일,,10:00-20:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2916532,로이드 신제주,63124.0,,,"제주특별자치도 제주시 연동7길 22, 1층(연동) ",33.4881616644,126.4905762689,-,064-749-9278,,"보석(장신구),시계,악세서리,향수 및 화장품",,월~일요일,,11:00-23:00,,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2916577,컬럼비아제주점,63166.0,,,제주특별자치도 제주시 중앙로42 ,33.5146287177,126.5244310595,-,064-753-7071,,스포츠 용품 및 의류,,월~일요일,,10:30-21:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,,
2917170,엘지베스트샵 제주 본점,63081.0,,,제주특별자치도 제주시 도령로 36 ,33.4877338122,126.4829186114,-,064-748-6600,,전자제품,,월~일요일,,10:30-20:30,명절,환급서비스 제공방식 : 즉시,가능,,,,가능,완비,
2917746,유니클로 제주이도,63232.0,,,제주특별자치도 제주시 구남로8길 1(이도이동) ,33.4913203705,126.5359472543,-,064-759-8756,,"기타 패션 및 의류,남성의류,란제리(속옷),스포츠 용품 및 의류,아동의류,여성의류",,월~일요일,,11:30-20:30,,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2918363,피규어뮤지엄 제주,63526.0,,,제주특별자치도 서귀포시 안덕면 한창로 243 ,33.2819323301,126.3553676494,-,064-792-2244,,기타 소매,,월~일요일,,10:30-18:00,,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2918547,올리브영 제주중문,63535.0,,,제주특별자치도 서귀포시 중문관광로110번길 32 ,33.2510449721,126.4124133884,-,064-739-5290,,향수 및 화장품,,월~일요일,,10:00-21:00,,환급서비스 제공방식 : 즉시+사후,가능,,,,가능,완비,
2918721,안경사랑,63169.0,,,제주특별자치도 제주시 중앙로88 ,33.5106569256,126.5238117593,-,064-755-7220,,안경,,월~일요일,,09:00-20:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,,
2922410,정관장 제주연북로,63084.0,,,"제주특별자치도 제주시 연북로 33 (노형동, KT&G 사옥1층) ",33.4823844406,126.48519909,-,064-746-2304,,"향수 및 화장품,기타 소매",,월~일요일,,10:00-20:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2922976,한국기념품백화점 제주,63081.0,,,제주특별자치도 제주시 원노형로 13 ,33.4874977566,126.4847656785,-,064-742-0087,,기념품점,,월~일요일,,09:00-18:00,명절,환급서비스 제공방식 : 즉시+사후,가능,,,,가능,완비,
2922991,밀레 제주칠성,63166.0,,,제주특별자치도 제주시 중앙로 44(일도일동) ,33.5145315076,126.5244893898,-,064-756-4172,,스포츠 용품 및 의류,,월~일요일,,09:30-21:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2924017,PVH CK진 제주연동,63131.0,,,제주특별자치도 제주시 신광로 66 ,33.4863312998,126.4898624841,-,064-744-7805,,"남성의류,여성의류,기타 소매",,월~일요일,,10:00-21:30,,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2924333,베베드피노 제주노형,63100.0,,,"제주특별자치도 제주시 월랑로 47, 제주주립빌딩 102호 ",33.489502936,126.4750692539,-,064-745-2304,,아동의류,,월~일요일,,09:30-21:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,완비,
2924420,팬텀 제주칠성,63192.0,,,제주특별자치도 제주시 중앙로 59 ,33.5129816868,126.5250004917,-,064-721-2133,,"남성의류,여성의류",,월~일요일,,10:00-21:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,,
2925664,원더런 제주연동,63131.0,,,제주특별자치도 제주시 신광로 52 ,33.4875033892,126.4896513648,-,064-749-0072,,"가죽 제품 및 가방,기타 패션 및 의류,남성의류,보석(장신구),시계,신발,아동의류,악세서리,안경,여성의류,향수 및 화장품",,월~일요일,,10:00-24:00,,환급서비스 제공방식 : 사후,불가능,,,,가능,완비,
2925821,다이나핏 신제주,63123.0,,,"제주특별자치도 제주시 신광로 59,1층(연동) ",33.4868229165,126.490120784,-,064-723-1374,,스포츠 용품 및 의류,,월~일요일,,10:00-22:30,,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2926704,노스페이스 제주서귀,63590.0,,,"제주특별자치도 서귀포시 중정로 123, 101호(서귀동) ",33.248839365,126.5695025961,-,064-732-3112,,"남성의류,신발,아동의류,여성의류",,월~일요일,,11:00-21:00,,환급서비스 제공방식 : 사후,불가능,,,,가능,완비,
2928848,베스띠벨리 제주칠성,63277.0,,,제주특별자치도 제주시 중앙로 41 ,33.5145148483,126.52486158,-,064-727-0355,,여성의류,,월~일요일,,10:00-21:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,완비,
2928853,제일모직아울렛 제주노형,63081.0,,,제주특별자치도 제주시 도령로 22 (노형동) ,33.487050537,126.481815945,-,064-711-4957,,"남성의류,여성의류",,월~일요일,,10:00-21:30,명절,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2929823,올리브영 제주국제공항,63115.0,,,제주특별자치도 제주시 공항로 2(용담이동) 제주국제공항 1층 ,33.5056848111,126.4960226206,-,064-711-1672,,"향수 및 화장품,기타 소매",,월~일요일,,07:30-21:30,,환급서비스 제공방식 : 즉시+사후,가능,,,,가능,완비,
2930516,랜드로바 제주칠성,63277.0,,,제주특별자치도 제주시 중앙로7길 3 ,33.5150286872,126.5253226393,-,064-727-5688,,"신발,악세서리",,월~일요일,,10:00-21:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2930887,크록스 제주중문,63535.0,,,제주특별자치도 서귀포시 중문관광로72번길 29-9 ,33.2496534392,126.4111246414,-,064-739-1661,,신발,,월~일요일,,10:00-21:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,,
2930914,루이까스텔 제주서귀,63595.0,,,"제주특별자치도 서귀포시 중정로 104, 1층(서귀동) ",33.2484143782,126.5673555696,-,064-732-2000,,"남성의류,여성의류",,월~일요일,,10:00-21:00,명절,환급서비스 제공방식 : 사후,불가능,,,,가능,,
2930925,더아이잗 제주칠성,63277.0,,,"제주특별자치도 제주시 관덕로11길 17(일도일동, 2층) ",33.5146842793,126.5251809922,-,064-756-1583,,여성의류,,월~일요일,,10:30-21:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
3305315,cu이호테우해변점,63111.0,,,제주특별자치도 제주시 테우해안로 172 null,33.4969128599,126.4519655395,-,070-8860-4839,,"복합(편의점, 아울렛 등)",,월~일요일,,06:00~01:00,-,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2931257,수목원길 야시장,63141.0,,,제주특별자치도 제주시 은수길 69 ,33.4706802287,126.4882268692,제주도에서 가장 오래되고 규모가 큰 소나무군락지에 복합테마파크 형태의 관광지로 조성된 야시장이다. 약 4 000평의 규모로 소나무 숲 안에 조성된 자연그대로의 형태를 갖춘 대한민국 최초의 야시장이다. 현재 다문화 가정이 운영하는 트럭이 2대  청년창업 트럭이 9대  제주지역 트럭이 7대 운영으로 총 18대의 푸드트럭이 운영되고  제주 지역 소상공인들로 구성된 셀러가 약 30여팀이 운영되고 있다.,064-742-3700,,,,,,동절기 18:00~22:00<br>하절기 18:00~23:00,연중무휴,,,,없음,,가능,있음,
3305343,cu제주연동아랑점,63133.0,,,제주특별자치도 제주시 신대로18길 16 삼다연동맨션 1층 105호 null,33.4848509861,126.4947287609,-,0507-1447-9960,,"복합(편의점, 아울렛 등)",,월~일요일,,00:00~24:00,-,환급서비스 제공방식 : 사후,불가능,,,,가능,완비,
3305425,cu제주신화빌라스점,63522.0,,,제주특별자치도 서귀포시 신화역사로304번길 139 null,33.299813119,126.3191453958,-,064-794-5533,,"복합(편의점, 아울렛 등)",,월~일요일,,00:00~24:00,-,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
3305430,GS25제주함덕점,63333.0,,,제주특별자치도 제주시 조천읍 함덕13길 2 null,33.5415085899,126.6677429912,-,064-784-5151,,"복합(편의점, 아울렛 등)",,월~일요일,,00:00~24:00,-,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
3305511,cu제주열린점,63125.0,,,제주특별자치도 제주시 삼무로 11 null,33.4902419485,126.4879931137,-,064-713-2558,,"복합(편의점, 아울렛 등)",,월~일요일,,00:00~24:00,-,환급서비스 제공방식 : 즉시+사후,불가능,,,,가능,완비,
